date,day_of_week,month,meal_type,people_served,food_prepared_kg,food_consumed_kg,food_wasted_kg,temperature,rainfall,festival,special_event
2024-08-05,0,8,Breakfast,147,63.39,45.29,18.1,27.5,0.0,0,0
2024-08-05,0,8,Lunch,429,243.02,183.02,60.01,26.4,0.0,0,1
2024-08-05,0,8,Dinner,190,87.07,74.26,12.8,22.7,0.0,0,0
2024-08-06,1,8,Breakfast,138,60.71,50.3,10.41,22.9,0.0,0,0
2024-08-06,1,8,Lunch,303,178.7,168.23,10.47,22.3,0.0,0,0
2024-08-06,1,8,Dinner,218,92.52,76.22,16.3,22.0,0.0,0,0
2024-08-07,2,8,Breakfast,131,57.24,53.95,3.3,29.1,0.0,0,0
2024-08-07,2,8,Lunch,326,151.61,120.86,30.75,26.1,0.2,0,0
2024-08-07,2,8,Dinner,189,80.93,72.88,8.05,28.9,0.0,0,0
2024-08-08,3,8,Breakfast,159,86.78,77.48,9.3,21.6,0.0,0,0
2024-08-08,3,8,Lunch,281,131.0,93.78,37.22,24.0,0.0,0,0
2024-08-08,3,8,Dinner,176,87.02,63.52,23.5,19.5,0.0,0,0
2024-08-09,4,8,Breakfast,161,81.23,65.54,15.69,29.9,0.0,0,0
2024-08-09,4,8,Lunch,291,130.91,105.07,25.84,25.4,0.0,0,0
2024-08-09,4,8,Dinner,214,125.39,113.11,12.28,21.1,0.0,0,0
2024-08-10,5,8,Breakfast,92,51.66,47.73,3.92,29.6,0.4,0,0
2024-08-10,5,8,Lunch,174,99.55,69.86,29.69,21.5,0.0,0,0
2024-08-10,5,8,Dinner,124,72.98,56.99,16.0,11.7,0.0,0,0
2024-08-11,6,8,Breakfast,119,53.59,44.18,9.42,34.4,0.0,0,1
2024-08-11,6,8,Lunch,162,66.47,51.16,15.31,19.6,0.0,0,0
2024-08-11,6,8,Dinner,160,71.75,62.28,9.47,24.0,0.0,0,1
2024-08-12,0,8,Breakfast,161,84.8,70.72,14.08,21.1,0.0,0,0
2024-08-12,0,8,Lunch,283,114.14,94.51,19.63,20.0,0.0,0,0
2024-08-12,0,8,Dinner,175,102.79,75.48,27.3,28.2,0.0,0,0
2024-08-13,1,8,Breakfast,145,81.7,68.53,13.17,21.1,4.2,0,0
2024-08-13,1,8,Lunch,305,160.62,126.05,34.57,17.0,0.0,0,0
2024-08-13,1,8,Dinner,182,75.86,56.17,19.69,31.5,4.4,0,0
2024-08-14,2,8,Breakfast,162,64.96,48.09,16.88,26.1,0.0,0,0
2024-08-14,2,8,Lunch,314,140.5,109.78,30.72,34.3,0.0,0,0
2024-08-14,2,8,Dinner,225,106.55,81.65,24.9,28.8,2.1,0,0
