food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium,food_category_encoded
Vegetables,-0.1485975338619092,0.6551362218060779,-1.0980676073462934,-1.3217003963088905,-0.33009479253757057,Animal Feed,8.6,3.54,15.04,15.16,1.51,0.61,1.13,4
Fruits,1.5360741650092011,-0.5345248173073864,1.6644801703289969,-0.11248949806037437,-1.7286324944136184,Compost,16.23,4.1,83.69,89.11,0.52,0.42,0.81,0
Vegetables,-1.019223420222252,1.240669666126097,1.1379981551089906,0.6247501948888631,1.1172033363452487,Biogas,4.32,2.01,62.17,58.15,1.78,0.56,1.37,4
Grains,-0.8982835123687846,-1.2152165611090526,0.6823417522744452,1.492901609016003,0.7293363033368363,Compost,4.91,0.63,41.55,27.37,1.12,0.35,0.37,1
Vegetables,0.5303633523329968,0.6525840835058037,1.5803965615364048,1.1943310168558754,1.0994722719791503,Biogas,13.0,4.99,69.89,63.45,1.56,0.43,1.08,4
Vegetables,-1.6932335499553202,0.700345528839504,0.16458210311176108,-1.415864967682469,-0.28133436553079894,Animal Feed,0.51,0.21,52.05,60.23,1.73,0.49,1.05,4
Vegetables,-0.620333899582745,0.9183710579200592,1.3536150440460109,-0.18828049453179133,0.5608911918588961,Biogas,6.39,2.76,75.43,79.73,1.35,0.54,1.31,4
Fruits,1.2807565817629918,0.05538372124167418,1.49003284918254,1.0094469194028737,-1.600082277759402,Compost,15.09,5.19,68.92,63.57,1.5,0.42,0.87,0
Grains,-1.317683309778763,-1.545171584215913,-0.752313016834016,-0.7107790308120143,1.2767829156401382,Animal Feed,2.67,0.21,19.62,16.39,0.94,0.29,0.45,1
Grains,-1.6437259853369417,-1.18203876320549,0.5591819435450466,-0.6166144594384357,0.5564584257673723,Animal Feed,0.8,0.11,56.39,59.88,1.09,0.32,0.42,1
Grains,-0.17759482170981664,-1.5105354215693363,0.03025766582898927,0.06550450880431685,1.1437999328943949,Compost,9.05,0.76,35.28,29.78,1.13,0.3,0.4,1
Vegetables,0.7715359171168121,0.5071122003901826,0.08747638716502713,-1.264282974739635,0.36584948383180965,Animal Feed,13.87,5.22,48.51,54.92,1.57,0.58,1.23,4
Grains,-1.402553420553126,-1.6089750417227644,0.7629364146441083,-1.469837343957569,0.2395156502233537,Animal Feed,2.08,0.15,69.65,81.73,0.91,0.3,0.44,1
Vegetables,0.6152334631073598,1.245409351540892,0.15690642098131702,1.5629508633304945,-0.8309973608798644,Biogas,12.29,6.28,25.87,8.06,1.49,0.53,1.46,4
Meat,1.2270055116058947,0.02329969689537191,-1.2480923035322464,-0.44780724002482514,-0.7844533169188531,Compost,15.45,5.02,3.12,-5.23,2.22,1.2,0.35,2
Meat,1.455447559773556,0.11772881400551188,1.0232118177946217,-0.8531742363037673,-0.5871952258460033,Biogas,16.78,5.64,71.75,79.94,3.2,1.29,0.54,2
Grains,1.6089210100905298,-1.6924664232603013,1.152651730085293,1.19088597156172,0.9620565231418832,Compost,18.92,1.13,57.66,48.8,0.92,0.34,0.39,1
Grains,-0.497979489883038,-1.7015812029041373,0.8002681413694498,1.1185400203844584,1.0396299297435645,Compost,7.22,0.42,48.19,37.94,0.99,0.32,0.41,1
Meat,0.46600351832910447,0.0896552927024974,0.14853294956628704,-0.7865700272834314,-0.013152016993555143,Biogas,12.0,3.87,46.1,48.71,2.44,1.33,0.48,2
Vegetables,0.10813455123053956,0.5847701229556644,-1.2341365178405297,-0.6177628078698207,0.8689684352198638,Animal Feed,10.52,3.99,5.0,-1.79,1.41,0.77,1.09,4
Grains,1.0813118214432382,-1.196257819449874,1.0476344427551256,0.7476234770470694,0.45007203957077824,Compost,15.61,2.06,58.51,52.91,0.86,0.33,0.49,1
Grains,1.6025557517824522,-1.3227709609063165,0.8086416127844801,-0.9289652327751844,0.9088633300435878,Animal Feed,18.84,2.1,66.27,73.9,1.06,0.32,0.45,1
