waste_diverted,compost_generated,biogas_generated,co2_saved,water_saved,landfill_reduction,sdg_score
139.63,42.72,37.89,265.29,4175.85,125.66,74.51
393.31,120.6,99.52,747.29,10366.3,353.98,79.31
388.6,159.08,43.66,738.34,15211.28,349.74,87.52
257.85,100.0,38.78,489.92,9222.46,232.07,90.87
345.19,156.81,92.33,655.85,6574.33,310.67,74.07
246.18,101.37,27.04,467.75,8256.02,221.56,63.1
412.96,203.42,65.23,784.62,12497.96,371.66,88.81
191.59,63.52,47.48,364.03,7268.03,172.43,79.95
475.0,233.23,129.35,902.49,10317.31,427.5,67.89
426.08,183.33,76.36,809.56,11244.45,383.47,89.87
123.46,60.35,27.98,234.58,5142.69,111.12,72.98
314.1,141.35,58.75,596.8,9271.53,282.69,80.37
78.53,37.12,21.47,149.21,1669.36,70.68,90.79
385.34,152.84,65.34,732.14,10009.21,346.8,78.7
235.63,90.49,33.14,447.71,9027.74,212.07,81.34
496.36,162.93,60.93,943.08,15206.99,446.72,65.32
324.78,110.17,63.85,617.08,11189.45,292.3,76.03
193.99,88.55,52.56,368.59,4097.53,174.59,88.47
226.24,89.93,33.11,429.85,7924.79,203.61,63.53
316.24,157.47,79.28,600.85,14484.15,284.61,76.25
113.95,40.76,12.51,216.5,3426.68,102.55,82.74
241.02,99.45,39.56,457.93,3237.91,216.92,75.12
296.51,147.22,50.24,563.37,11003.68,266.86,88.79
200.93,97.65,33.71,381.76,9803.61,180.83,60.08
335.38,153.6,52.32,637.22,4924.02,301.84,60.85
83.48,34.11,22.36,158.62,1045.65,75.13,63.96
52.3,18.64,14.87,99.36,1100.92,47.07,75.43
130.53,42.19,17.81,248.01,2404.03,117.48,64.56
406.2,160.63,84.47,771.78,10149.29,365.58,67.38
92.26,29.08,12.64,175.29,4059.9,83.03,67.58
209.67,86.92,42.41,398.37,7680.76,188.7,66.8
285.82,129.63,50.73,543.06,13969.77,257.24,80.23
353.67,138.57,96.05,671.98,9923.85,318.3,92.98
188.37,89.13,42.92,357.9,7904.45,169.53,61.32
174.78,82.04,28.6,332.07,6729.96,157.3,94.73
129.73,49.75,17.26,246.48,2097.86,116.75,82.16
136.12,53.98,40.24,258.63,3175.01,122.51,90.58
228.36,80.52,38.19,433.89,3450.0,205.53,83.76
279.06,117.98,44.82,530.21,10084.8,251.15,65.76
343.61,108.66,61.87,652.86,11816.88,309.25,89.94
415.59,168.47,114.98,789.61,12565.73,374.03,78.1
374.25,177.98,82.54,711.07,17877.01,336.82,68.14
465.94,160.44,95.65,885.28,19495.49,419.35,88.06
175.17,87.09,20.34,332.83,1995.43,157.65,89.45
418.56,185.24,113.08,795.26,6488.65,376.7,63.35
486.23,206.57,138.07,923.84,22491.95,437.61,82.86
332.81,123.8,43.21,632.35,12468.59,299.53,88.63
295.08,91.53,38.06,560.65,4154.27,265.57,83.02
304.16,119.62,63.47,577.89,6398.87,273.74,88.17
197.85,84.85,35.25,375.91,2549.57,178.06,68.99
484.29,163.74,58.59,920.16,10483.08,435.86,90.73
187.71,71.98,30.41,356.65,9302.8,168.94,95.0
267.25,122.12,38.49,507.77,6673.66,240.52,83.78
178.85,61.69,50.87,339.81,3536.16,160.96,62.07
387.99,135.27,73.73,737.18,5611.21,349.19,62.4
257.2,94.5,51.74,488.68,12508.0,231.48,74.26
321.2,102.63,89.03,610.27,13565.52,289.08,78.28
132.52,51.05,21.13,251.79,6596.91,119.27,77.18
240.0,80.12,35.48,456.01,9231.43,216.0,78.72
211.11,75.87,29.59,401.12,2397.39,190.0,94.2
388.9,188.84,70.98,738.91,17413.1,350.01,68.97
279.43,95.14,70.99,530.91,8355.97,251.48,78.77
436.75,195.6,128.08,829.83,11448.84,393.08,76.15
326.9,127.71,60.12,621.11,7722.37,294.21,89.12
290.07,122.26,40.85,551.13,5822.02,261.06,71.89
259.42,80.1,72.03,492.89,11971.66,233.47,83.16
192.22,72.48,47.44,365.23,4123.52,173.0,81.31
457.82,174.93,99.53,869.86,21583.37,412.04,71.92
391.84,176.73,111.95,744.49,17375.49,352.65,86.21
336.43,117.16,78.77,639.22,7084.5,302.79,75.4
369.36,160.67,66.57,701.79,6392.6,332.43,76.94
171.49,60.21,28.36,325.83,6559.32,154.34,77.41
217.93,104.63,52.6,414.06,6491.2,196.13,74.75
418.5,140.02,97.44,795.16,4536.83,376.65,60.24
469.3,189.03,76.51,891.68,19611.15,422.37,94.47
65.49,20.14,17.74,124.42,2113.15,58.94,90.9
362.59,142.9,47.96,688.92,9280.27,326.33,87.55
155.26,68.7,23.21,295.0,4431.42,139.74,62.99
254.75,107.64,54.18,484.02,6689.38,229.27,72.94
173.93,78.86,44.62,330.47,5099.8,156.54,73.39
336.84,138.63,78.64,640.0,7491.54,303.16,87.59
192.53,73.88,24.35,365.82,8512.86,173.28,82.55
155.88,73.32,37.56,296.17,4315.86,140.29,94.64
201.74,64.54,49.77,383.31,8126.66,181.57,62.06
418.74,190.6,119.73,795.6,6173.03,376.86,81.03
148.74,56.5,22.76,282.61,4160.55,133.87,63.95
186.58,58.62,37.01,354.51,4080.05,167.92,80.66
255.4,89.08,30.8,485.26,10249.91,229.86,82.16
64.82,32.27,14.81,123.16,1185.35,58.34,89.42
446.95,185.36,123.86,849.2,4990.98,402.25,93.08
75.74,32.45,12.81,143.91,876.52,68.17,92.53
110.91,52.21,18.42,210.73,4397.24,99.82,68.9
312.55,143.74,66.65,593.84,6957.91,281.29,68.17
128.66,60.18,28.59,244.46,3904.54,115.8,68.74
245.19,103.96,28.04,465.86,5989.62,220.67,68.38
340.93,143.62,54.51,647.77,3977.05,306.84,66.4
122.03,50.48,16.33,231.85,3574.61,109.83,81.51
445.8,155.59,61.16,847.03,7547.54,401.22,72.62
342.13,148.61,48.65,650.05,5217.28,307.92,75.7
113.54,52.52,13.26,215.72,4550.95,102.18,61.49
413.14,175.76,67.95,784.97,10832.91,371.83,83.58
133.53,63.84,26.25,253.71,5395.46,120.18,77.73
253.53,99.87,43.76,481.7,9966.14,228.17,89.62
434.48,140.87,109.61,825.51,7819.82,391.03,60.43
173.96,62.38,45.57,330.52,6905.35,156.56,62.96
196.68,68.89,43.09,373.7,6227.06,177.01,83.76
459.83,176.67,106.31,873.67,21489.67,413.85,78.96
188.73,71.83,47.36,358.58,7322.67,169.85,86.19
384.48,186.13,97.2,730.52,17000.9,346.04,80.08
339.88,167.74,93.15,645.77,13967.05,305.89,83.99
211.33,86.57,23.46,401.53,5631.33,190.2,63.92
377.89,180.81,50.95,717.99,7492.51,340.1,89.99
313.62,130.99,66.67,595.89,5874.32,282.26,68.52
477.34,212.27,56.37,906.94,9030.08,429.61,81.95
177.56,62.21,24.94,337.36,3094.7,159.8,81.47
457.63,170.34,56.88,869.5,6851.65,411.87,92.68
287.93,113.23,80.09,547.07,8719.85,259.14,76.82
466.99,184.41,83.21,887.29,15535.24,420.29,94.2
483.72,220.15,96.68,919.07,21892.57,435.35,74.68
338.06,113.55,78.52,642.32,7114.31,304.26,87.01
236.32,89.73,58.92,449.0,6383.6,212.69,84.99
434.78,142.34,85.13,826.08,20780.92,391.3,88.43
488.13,230.43,79.1,927.44,8379.21,439.31,67.37
147.6,46.52,41.53,280.44,4443.1,132.84,63.54
393.19,143.56,44.91,747.06,6916.29,353.87,83.01
407.3,142.86,87.74,773.88,4087.24,366.57,69.74
131.74,41.54,25.92,250.3,4642.43,118.56,61.62
112.05,54.51,16.21,212.9,4526.81,100.85,86.17
194.71,66.36,28.97,369.95,6354.62,175.24,73.34
273.0,126.22,54.73,518.71,13598.12,245.7,83.3
143.26,57.29,37.63,272.2,2683.58,128.94,85.53
65.05,31.78,15.14,123.6,1073.54,58.55,90.6
86.82,33.09,21.48,164.96,4123.59,78.14,72.21
423.73,143.79,45.35,805.09,4724.78,381.36,83.04
119.39,37.02,35.26,226.85,2349.72,107.45,76.19
325.89,107.18,55.87,619.18,11702.02,293.3,82.39
428.93,166.2,119.23,814.96,15993.66,386.03,79.67
102.71,42.62,22.49,195.15,4144.64,92.44,85.17
288.49,120.75,73.41,548.13,6940.41,259.64,64.72
443.43,218.61,82.42,842.53,21999.86,399.09,71.29
79.96,33.14,21.88,151.92,2774.5,71.96,60.33
55.32,24.61,14.89,105.12,1113.21,49.79,76.45
482.49,189.19,61.35,916.73,22419.48,434.24,77.33
204.94,65.47,39.28,389.38,8358.79,184.44,85.1
273.46,121.39,46.53,519.58,10777.43,246.12,63.0
139.66,66.41,22.17,265.35,2546.99,125.69,63.12
226.83,71.09,45.23,430.98,10608.42,204.15,87.55
68.3,24.59,9.39,129.78,865.92,61.47,63.8
458.66,166.04,81.85,871.46,13497.61,412.8,86.07
409.27,201.66,58.17,777.61,9021.32,368.34,70.95
250.37,115.54,37.03,475.7,10344.36,225.33,67.14
369.57,169.93,100.06,702.18,11239.04,332.61,71.51
397.57,144.79,51.53,755.39,17249.68,357.82,74.39
306.88,148.43,39.02,583.06,9908.19,276.19,79.56
437.85,161.24,78.92,831.92,13473.43,394.07,65.85
261.8,101.37,36.52,497.42,11341.31,235.62,75.09
187.73,61.21,22.14,356.69,9087.82,168.96,94.83
454.07,177.87,118.78,862.73,19693.45,408.66,70.49
313.71,154.15,48.94,596.05,11455.38,282.34,83.19
253.7,100.99,48.53,482.03,7824.94,228.33,65.21
407.64,176.19,120.16,774.51,8081.68,366.87,65.11
204.15,82.06,28.79,387.88,5802.75,183.73,82.49
75.28,34.0,21.68,143.03,1560.49,67.75,87.17
238.07,103.06,59.19,452.33,5189.68,214.26,87.56
97.3,48.39,16.29,184.87,1844.04,87.57,64.85
415.48,173.33,120.63,789.42,14918.77,373.93,71.92
426.39,151.9,67.44,810.13,4746.19,383.75,68.82
167.65,60.27,29.12,318.53,5543.52,150.88,67.57
336.54,109.94,96.31,639.43,3716.91,302.89,91.79
296.24,130.94,47.3,562.86,5021.85,266.62,93.16
248.45,98.41,73.82,472.06,5824.39,223.61,63.51
314.11,129.09,79.98,596.81,15141.15,282.7,70.77
374.81,145.01,96.23,712.14,6210.98,337.33,77.53
84.73,34.93,11.34,160.99,4101.28,76.26,79.4
288.22,142.51,57.55,547.62,10683.99,259.4,61.63
368.75,118.32,94.42,700.63,16621.09,331.88,71.04
445.16,176.52,95.4,845.8,11769.69,400.64,76.68
458.72,224.53,86.78,871.57,14025.17,412.85,64.07
196.53,79.13,27.62,373.41,6497.53,176.88,83.98
342.48,133.06,86.94,650.72,7802.05,308.23,76.42
171.57,72.18,32.28,325.98,3205.7,154.41,70.79
175.76,84.75,35.92,333.95,6346.05,158.18,92.72
132.0,64.33,27.45,250.8,5840.72,118.8,65.88
172.82,58.56,39.87,328.36,2701.27,155.54,87.74
162.7,57.12,25.42,309.12,6484.35,146.43,92.35
458.38,146.8,69.9,870.92,16908.37,412.54,81.65
207.51,98.06,26.17,394.27,7379.43,186.76,69.56
287.23,108.43,85.0,545.73,8463.96,258.51,94.16
164.76,74.73,40.1,313.04,7233.9,148.28,84.28
357.06,154.3,106.05,678.42,6828.41,321.36,61.05
355.09,118.77,83.76,674.67,8091.51,319.58,61.52
396.4,123.01,57.41,753.15,9297.99,356.76,64.65
461.11,195.68,126.84,876.1,17191.0,415.0,94.72
286.32,88.97,37.84,544.01,9602.36,257.69,72.17
100.8,35.04,19.65,191.52,3097.36,90.72,92.71
90.81,33.74,18.27,172.53,1319.47,81.73,84.07
281.76,110.42,65.15,535.35,6061.44,253.59,71.88
123.21,49.87,21.5,234.11,2515.2,110.89,64.37
60.45,20.47,9.04,114.86,1778.32,54.41,68.43
417.94,165.02,93.94,794.09,7655.7,376.15,74.56
321.25,116.36,53.73,610.37,13587.91,289.12,89.3
289.82,138.91,71.68,550.66,3539.34,260.84,79.58
364.01,148.58,96.97,691.61,8020.34,327.61,62.29
335.13,149.52,84.8,636.75,3499.56,301.62,83.57
59.33,26.99,14.28,112.72,1939.81,53.39,77.72
371.8,115.79,99.06,706.42,6710.61,334.62,76.72
