food_category,weight,moisture,freshness,contamination_level,organic_percentage,recommended_method,compost_yield,biogas_yield,animal_feed_score,donation_score,nitrogen,phosphorus,potassium
Vegetables,23.21,76.18,18.64,3.61,92.59,Animal Feed,8.6,3.54,15.04,15.16,1.51,0.61,1.13
Fruits,47.03,43.55,97.82,14.14,86.28,Compost,16.23,4.1,83.69,89.11,0.52,0.42,0.81
Vegetables,10.9,92.24,82.73,20.56,99.12,Biogas,4.32,2.01,62.17,58.15,1.78,0.56,1.37
Grains,12.61,24.88,69.67,28.12,97.37,Compost,4.91,0.63,41.55,27.37,1.12,0.35,0.37
Vegetables,32.81,76.11,95.41,25.52,99.04,Biogas,13.0,4.99,69.89,63.45,1.56,0.43,1.08
Vegetables,1.37,77.42,54.83,2.79,92.81,Animal Feed,0.51,0.21,52.05,60.23,1.73,0.49,1.05
Vegetables,16.54,83.4,88.91,13.48,96.61,Biogas,6.39,2.76,75.43,79.73,1.35,0.54,1.31
Fruits,43.42,59.73,92.82,23.91,86.86,Compost,15.09,5.19,68.92,63.57,1.5,0.42,0.87
Grains,6.68,15.83,28.55,8.93,99.84,Animal Feed,2.67,0.21,19.62,16.39,0.94,0.29,0.45
Grains,2.07,25.79,66.14,9.75,96.59,Animal Feed,0.8,0.11,56.39,59.88,1.09,0.32,0.42
Grains,22.8,16.78,50.98,15.69,99.24,Compost,9.05,0.76,35.28,29.78,1.13,0.3,0.4
Vegetables,36.22,72.12,52.62,4.11,95.73,Animal Feed,13.87,5.22,48.51,54.92,1.57,0.58,1.23
Grains,5.48,14.08,71.98,2.32,95.16,Animal Feed,2.08,0.15,69.65,81.73,0.91,0.3,0.44
Vegetables,34.01,92.37,54.61,28.73,90.33,Biogas,12.29,6.28,25.87,8.06,1.49,0.53,1.46
Meat,42.66,58.85,14.34,11.22,90.54,Compost,15.45,5.02,3.12,-5.23,2.22,1.2,0.35
Meat,45.89,61.44,79.44,7.69,91.43,Biogas,16.78,5.64,71.75,79.94,3.2,1.29,0.54
Grains,48.06,11.79,83.15,25.49,98.42,Compost,18.92,1.13,57.66,48.8,0.92,0.34,0.39
Grains,18.27,11.54,73.05,24.86,98.77,Compost,7.22,0.42,48.19,37.94,0.99,0.32,0.41
Meat,31.9,60.67,54.37,8.27,94.02,Biogas,12.0,3.87,46.1,48.71,2.44,1.33,0.48
Vegetables,26.84,74.25,14.74,9.74,98.0,Animal Feed,10.52,3.99,5.0,-1.79,1.41,0.77,1.09
Grains,40.6,25.4,80.14,21.63,96.11,Compost,15.61,2.06,58.51,52.91,0.86,0.33,0.49
Grains,47.97,21.93,73.29,7.03,98.18,Animal Feed,18.84,2.1,66.27,73.9,1.06,0.32,0.45
Vegetables,8.22,82.64,69.7,8.83,94.56,Animal Feed,3.11,1.36,60.87,65.97,1.37,0.61,1.28
Grains,32.07,21.78,42.74,7.15,99.58,Animal Feed,12.77,1.4,35.59,36.99,1.11,0.27,0.44
Vegetables,10.21,70.1,97.53,19.26,97.2,Biogas,3.97,1.43,78.27,78.52,1.15,0.43,1.33
Grains,15.96,14.45,35.25,13.72,96.06,Compost,6.13,0.46,21.53,14.86,1.05,0.33,0.36
Vegetables,20.84,72.58,41.85,11.44,95.33,Biogas,7.95,3.03,30.41,27.33,1.52,0.49,1.53
Vegetables,26.67,82.86,75.08,4.32,94.68,Animal Feed,10.1,4.42,70.76,81.46,1.6,0.57,1.3
Grains,4.94,23.89,92.32,17.89,96.91,Compost,1.91,0.24,74.43,75.0,0.84,0.36,0.4
Mixed,7.69,65.57,58.29,18.35,94.37,Biogas,2.9,1.01,39.94,33.24,1.05,0.31,0.81
Meat,38.3,69.27,31.25,6.76,91.63,Biogas,14.04,5.31,24.49,23.98,2.77,0.73,0.51
Grains,30.7,10.2,42.66,10.04,98.9,Compost,12.14,0.63,32.62,31.11,0.92,0.32,0.34
Grains,39.34,10.46,75.16,11.6,99.85,Compost,15.71,0.82,63.56,66.99,1.06,0.34,0.37
Fruits,9.68,53.16,49.24,25.69,89.92,Compost,3.48,1.03,23.55,7.71,1.62,0.33,0.44
Grains,18.76,14.95,37.97,10.81,97.04,Compost,7.28,0.56,27.15,23.93,1.17,0.31,0.39
Vegetables,39.88,78.1,71.87,16.41,95.02,Biogas,15.16,6.23,55.46,53.42,1.42,0.37,1.32
Grains,40.68,14.87,60.16,22.6,99.42,Compost,16.18,1.21,37.56,27.0,1.21,0.36,0.41
Grains,27.82,11.24,0.11,8.47,95.45,Animal Feed,10.62,0.63,-8.36,-16.81,1.02,0.32,0.37
Grains,30.18,25.54,89.78,12.04,97.53,Compost,11.77,1.54,77.73,83.65,1.18,0.3,0.52
Vegetables,1.17,85.34,54.99,8.09,90.3,Animal Feed,0.42,0.2,46.9,49.81,1.49,0.64,1.2
Meat,14.22,68.33,44.43,19.77,91.1,Biogas,5.18,1.94,24.66,13.77,3.45,1.22,0.43
Grains,35.17,22.68,65.58,4.65,95.57,Animal Feed,13.44,1.6,60.93,69.39,1.08,0.34,0.45
Vegetables,20.27,77.0,91.81,5.74,92.28,Animal Feed,7.48,3.12,86.07,98.7,1.6,0.62,0.91
Meat,48.37,68.18,20.38,9.74,94.93,Biogas,18.37,6.6,10.65,4.98,3.18,0.76,0.56
Vegetables,34.4,76.72,22.1,15.03,98.15,Biogas,13.51,5.28,7.07,-3.54,1.44,0.28,1.39
Vegetables,38.82,85.56,75.36,25.96,94.76,Biogas,14.72,6.64,49.4,38.51,1.66,0.43,1.35
Fruits,39.4,58.36,6.58,22.9,97.67,Compost,15.39,4.6,-16.32,-37.91,1.65,0.27,1.0
Meat,33.92,57.3,24.38,10.47,89.9,Compost,12.2,3.89,13.91,8.31,3.41,0.99,0.4
Vegetables,12.27,71.91,92.19,5.36,99.2,Animal Feed,4.87,1.77,86.83,99.9,1.02,0.57,1.64
Vegetables,48.81,79.28,8.16,14.45,90.23,Biogas,17.62,7.74,-6.29,-19.1,1.62,0.46,1.22
Grains,30.7,18.78,13.96,15.38,99.67,Compost,12.24,1.15,-1.41,-14.0,1.19,0.32,0.38
Vegetables,21.74,94.56,31.85,15.83,91.57,Biogas,7.96,4.11,16.02,6.57,1.45,0.41,1.22
Mixed,20.17,42.92,46.47,18.28,86.99,Compost,7.02,1.73,28.19,19.2,1.08,0.35,0.67
Grains,1.94,29.71,47.5,11.65,96.84,Compost,0.75,0.12,35.85,33.69,1.02,0.27,0.45
Vegetables,2.07,79.0,70.0,4.46,98.89,Animal Feed,0.82,0.33,65.54,75.08,1.34,0.54,1.38
Fruits,15.78,60.43,47.99,18.14,89.47,Biogas,5.65,1.91,29.85,21.31,1.26,0.41,0.45
Grains,46.78,14.81,17.28,25.58,96.37,Compost,18.03,1.39,-8.3,-30.43,1.16,0.35,0.5
Vegetables,20.64,71.88,73.93,16.23,95.45,Biogas,7.88,2.97,57.7,56.25,1.51,0.54,1.23
Mixed,24.44,65.25,72.22,27.12,90.73,Biogas,8.87,3.19,45.1,32.43,1.55,0.37,0.85
Fruits,25.93,68.94,93.07,26.86,87.1,Biogas,9.03,3.58,66.21,57.96,0.8,0.49,0.79
Vegetables,42.65,93.71,45.57,21.42,93.61,Biogas,15.97,7.99,24.15,11.85,1.8,0.51,1.23
Meat,25.21,71.42,39.34,22.02,90.46,Biogas,9.12,3.6,17.32,3.17,3.01,0.82,0.48
Mixed,13.33,55.99,55.35,2.65,82.77,Animal Feed,4.41,1.49,52.7,61.11,1.23,0.4,1.06
Meat,30.5,66.54,92.72,29.7,93.99,Biogas,11.47,4.06,63.02,51.87,3.77,1.13,0.57
Grains,6.34,19.18,10.56,21.97,98.94,Compost,2.51,0.24,-11.41,-31.26,1.01,0.29,0.28
Vegetables,14.0,86.31,27.12,23.84,95.59,Biogas,5.35,2.42,3.28,-15.14,1.5,0.64,0.93
Vegetables,8.78,89.56,32.73,19.75,97.08,Biogas,3.41,1.57,12.98,-0.22,1.48,0.49,1.29
Vegetables,25.85,70.47,42.17,13.33,93.92,Biogas,9.71,3.64,28.84,23.94,1.61,0.5,1.04
Vegetables,18.72,88.91,95.07,3.27,93.69,Donation,7.02,3.33,91.8,107.55,1.33,0.64,1.52
Vegetables,30.79,93.73,64.5,16.67,99.9,Biogas,12.3,5.77,47.83,44.06,1.11,0.21,0.91
Grains,43.83,24.93,1.63,5.22,97.48,Animal Feed,17.09,2.18,-3.59,-8.49,1.21,0.27,0.3
Grains,41.31,15.57,95.83,25.64,97.61,Compost,16.13,1.29,70.19,63.72,0.79,0.26,0.39
Vegetables,36.27,78.69,19.25,21.28,99.95,Biogas,14.5,5.71,-2.03,-19.46,1.29,0.42,1.44
Vegetables,46.03,72.03,97.33,29.71,99.14,Biogas,18.25,6.63,67.62,57.37,1.55,0.2,1.1
Grains,7.23,20.12,57.02,17.05,97.65,Compost,2.82,0.29,39.97,34.33,1.27,0.33,0.37
Grains,5.18,22.53,70.56,3.57,96.4,Animal Feed,2.0,0.23,67.0,77.54,1.03,0.38,0.4
Grains,48.49,13.14,90.6,10.79,99.26,Compost,19.25,1.27,79.81,87.13,1.1,0.34,0.35
Vegetables,30.43,73.12,78.48,3.36,97.97,Animal Feed,11.92,4.45,75.12,87.45,1.3,0.59,1.27
Vegetables,38.95,80.43,28.9,10.54,99.72,Biogas,15.54,6.27,18.37,13.61,1.59,0.43,1.22
Vegetables,17.01,76.07,18.67,25.16,96.09,Biogas,6.54,2.59,-6.49,-27.91,1.72,0.47,1.32
Meat,46.61,54.14,18.04,14.39,86.44,Compost,16.12,5.05,3.65,-7.13,4.12,1.16,0.75
Grains,22.2,23.59,41.09,0.69,97.26,Animal Feed,8.64,1.05,40.4,47.92,0.95,0.24,0.35
Grains,42.41,17.09,57.47,12.47,95.23,Compost,16.15,1.45,45.0,44.03,0.97,0.25,0.36
Vegetables,17.18,88.12,34.95,17.86,96.12,Biogas,6.61,3.03,17.09,6.22,1.71,0.61,1.3
Vegetables,16.26,70.51,28.57,5.55,97.68,Animal Feed,6.35,2.29,23.01,23.17,1.74,0.46,1.37
Mixed,36.15,77.53,7.8,17.02,80.24,Compost,11.6,5.61,-9.22,-24.68,1.36,0.53,0.64
Grains,1.86,14.72,89.82,14.01,96.42,Compost,0.72,0.05,75.81,79.76,1.03,0.26,0.36
Vegetables,36.47,92.74,31.86,23.17,90.25,Biogas,13.17,6.76,8.68,-8.12,1.31,0.72,1.0
Mixed,47.23,51.97,28.44,8.02,84.07,Animal Feed,15.88,4.91,20.42,18.1,1.18,0.46,0.93
Fruits,8.96,42.9,47.16,18.82,84.85,Compost,3.04,0.77,28.34,18.95,0.92,0.3,0.85
Fruits,12.26,76.78,21.78,5.3,84.23,Animal Feed,4.13,1.88,16.48,15.53,0.98,0.58,0.87
Vegetables,33.01,75.85,42.86,7.02,91.84,Animal Feed,12.13,5.01,35.85,37.41,1.38,0.5,1.15
Vegetables,22.03,89.71,35.58,25.27,97.15,Biogas,8.56,3.95,10.31,-7.85,1.48,0.52,0.77
Meat,49.62,65.34,40.67,16.43,89.63,Biogas,17.79,6.48,24.24,15.95,2.79,1.36,0.55
Mixed,9.15,53.16,4.48,28.72,82.74,Compost,3.03,0.97,-24.24,-52.07,1.13,0.35,0.29
Mixed,14.69,72.92,49.12,12.58,90.41,Biogas,5.31,2.14,36.54,33.78,1.32,0.32,0.63
Vegetables,40.57,82.04,78.08,23.07,96.55,Biogas,15.67,6.66,55.02,47.56,1.53,0.36,1.26
Vegetables,35.02,93.53,10.49,26.16,96.26,Biogas,13.48,6.55,-15.67,-39.74,1.1,0.54,1.03
Grains,19.87,11.14,57.86,13.89,96.9,Compost,7.7,0.44,43.97,41.65,1.08,0.3,0.33
Vegetables,1.91,85.25,37.02,24.26,99.21,Biogas,0.76,0.33,12.76,-4.1,1.11,0.48,1.15
Vegetables,44.22,71.37,16.66,1.47,99.41,Animal Feed,17.58,6.31,15.19,17.05,1.89,0.57,1.45
Vegetables,42.83,88.87,84.07,23.61,95.17,Biogas,16.31,7.61,60.46,53.66,1.38,0.4,1.24
Grains,23.84,29.29,39.42,9.2,99.4,Animal Feed,9.48,1.4,30.22,28.91,0.87,0.37,0.46
Grains,29.12,18.56,6.77,11.05,96.32,Compost,11.22,1.08,-4.28,-13.98,1.19,0.31,0.48
Fruits,38.01,54.55,84.24,12.04,96.89,Compost,14.73,4.15,72.21,77.02,0.61,0.31,1.08
Grains,8.26,10.95,53.91,5.96,98.21,Animal Feed,3.25,0.18,47.95,52.78,1.02,0.31,0.39
Grains,9.97,18.77,73.85,14.38,99.0,Compost,3.95,0.37,59.47,59.86,0.88,0.29,0.36
Grains,42.72,24.17,1.83,16.36,95.16,Compost,16.26,2.07,-14.52,-30.52,1.06,0.34,0.38
Meat,31.47,69.01,47.19,21.5,92.26,Biogas,11.61,4.34,25.69,13.63,3.46,1.11,0.39
Fruits,14.34,55.39,66.37,29.72,96.75,Compost,5.55,1.59,36.65,20.2,1.71,0.27,0.86
Fruits,37.54,49.36,47.6,8.1,95.77,Animal Feed,14.38,3.71,39.5,40.93,1.5,0.41,0.71
Meat,47.9,67.27,84.3,21.33,93.87,Biogas,17.98,6.44,62.98,58.51,2.91,1.3,0.47
Grains,31.67,24.01,54.71,26.45,96.27,Compost,12.19,1.52,28.26,12.75,1.19,0.28,0.44
Grains,3.99,26.89,82.32,21.26,98.37,Compost,1.57,0.21,61.06,56.26,1.12,0.32,0.38
Vegetables,33.7,92.23,20.27,20.03,94.26,Biogas,12.71,6.22,0.24,-15.73,1.22,0.29,1.5
Grains,45.16,26.62,5.65,20.33,99.69,Compost,18.01,2.4,-14.68,-33.88,1.05,0.22,0.47
Vegetables,23.92,87.04,37.24,3.33,99.12,Animal Feed,9.48,4.16,33.91,38.03,1.46,0.63,0.92
Mixed,29.12,45.75,3.55,28.53,86.35,Compost,10.06,2.66,-24.97,-52.79,1.02,0.57,1.28
Vegetables,1.79,71.91,41.78,4.78,95.8,Animal Feed,0.69,0.26,36.99,40.56,1.8,0.36,1.13
Grains,5.18,10.93,42.39,27.45,97.6,Compost,2.02,0.11,14.94,-4.04,0.93,0.28,0.39
Meat,40.97,71.8,68.67,29.85,94.73,Biogas,15.52,5.88,38.82,22.7,3.29,1.28,0.39
Grains,36.46,19.9,36.69,22.46,97.16,Compost,14.17,1.45,14.23,-0.9,0.95,0.31,0.27
Fruits,44.26,50.25,5.3,11.21,96.13,Compost,17.02,4.45,-5.91,-16.06,0.81,0.29,0.61
Meat,17.02,65.74,43.26,4.99,91.6,Biogas,6.24,2.24,38.26,41.92,3.54,1.1,0.53
Vegetables,22.18,87.85,81.18,23.5,90.13,Biogas,8.0,3.9,57.68,50.42,1.71,0.43,1.44
Grains,22.54,29.67,69.36,27.74,97.85,Compost,8.82,1.34,41.61,27.74,1.09,0.27,0.35
Vegetables,5.03,92.04,87.72,3.23,99.15,Donation,2.0,0.93,84.49,98.8,1.34,0.36,0.95
Vegetables,11.22,77.15,22.54,7.21,91.13,Animal Feed,4.09,1.73,15.33,12.63,1.74,0.65,0.98
Grains,28.47,25.37,99.02,24.58,98.79,Compost,11.25,1.44,74.44,69.66,0.94,0.4,0.41
Vegetables,16.71,84.3,28.27,5.52,97.21,Animal Feed,6.5,2.82,22.75,22.88,1.67,0.65,1.25
Vegetables,29.09,87.21,36.81,20.14,93.26,Biogas,10.85,5.07,16.67,3.89,1.39,0.51,1.26
Fruits,42.78,47.75,78.47,6.85,88.75,Animal Feed,15.19,4.09,71.62,80.47,1.02,0.49,0.95
Vegetables,29.91,88.53,14.77,9.45,93.19,Animal Feed,11.15,5.3,5.33,-1.17,1.56,0.44,1.03
Grains,18.56,10.41,9.85,16.82,95.48,Compost,7.09,0.39,-6.97,-21.82,0.95,0.35,0.34
Vegetables,11.37,74.3,76.59,9.17,90.67,Animal Feed,4.12,1.69,67.41,73.56,1.41,0.7,1.11
Grains,15.78,11.6,65.84,15.43,99.7,Compost,6.29,0.37,50.41,48.15,0.92,0.37,0.41
Vegetables,32.49,73.88,14.9,10.38,94.14,Biogas,12.24,4.8,4.52,-2.88,1.75,0.56,1.42
Vegetables,36.25,93.81,85.67,16.56,92.64,Biogas,13.43,6.8,69.11,69.69,1.74,0.49,1.03
Vegetables,48.74,90.72,83.46,19.78,91.32,Biogas,17.8,8.84,63.67,60.58,1.48,0.58,1.07
Vegetables,47.92,73.69,17.07,26.11,97.46,Biogas,18.68,7.06,-9.04,-31.73,1.06,0.39,1.3
Grains,33.07,20.08,46.8,6.4,98.64,Animal Feed,13.05,1.33,40.4,43.36,0.82,0.29,0.45
Mixed,40.03,42.5,23.72,20.77,97.98,Compost,15.69,3.4,2.94,-13.09,1.09,0.31,0.9
Meat,12.71,56.42,77.91,15.03,88.07,Compost,4.48,1.43,62.88,63.44,2.41,1.07,0.53
Vegetables,22.17,79.71,38.42,16.32,99.6,Biogas,8.83,3.53,22.1,13.46,1.36,0.43,1.33
Grains,23.94,26.2,95.64,7.99,98.84,Animal Feed,9.47,1.25,87.65,98.78,1.12,0.3,0.44
Vegetables,44.56,89.31,14.46,15.12,99.27,Biogas,17.69,7.96,-0.65,-12.88,1.64,0.52,1.08
Vegetables,7.28,70.3,94.17,9.6,96.3,Animal Feed,2.8,1.02,84.57,93.8,1.34,0.47,1.01
Vegetables,42.15,86.19,20.7,29.67,97.1,Biogas,16.37,7.27,-8.97,-34.5,1.4,0.55,1.23
Fruits,29.86,69.81,52.45,0.39,91.68,Animal Feed,10.95,4.17,52.06,62.15,1.21,0.46,1.07
Meat,36.88,54.13,11.47,18.1,94.57,Compost,13.95,3.99,-6.62,-22.43,2.69,0.95,0.35
Vegetables,18.31,90.67,5.54,1.52,90.1,Animal Feed,6.6,3.32,4.02,3.61,1.57,0.64,1.21
Fruits,42.22,55.57,95.0,29.52,91.12,Compost,15.39,4.69,65.48,54.96,1.26,0.45,0.8
Fruits,45.57,49.78,22.03,11.82,94.96,Compost,17.31,4.54,10.21,2.79,0.95,0.41,1.13
Grains,19.33,17.5,45.28,23.34,95.67,Compost,7.4,0.68,21.94,7.65,1.09,0.37,0.32
Grains,8.54,29.53,19.22,13.5,96.21,Compost,3.29,0.5,5.72,-3.93,0.93,0.32,0.37
Vegetables,28.39,86.59,22.54,19.84,90.62,Biogas,10.29,4.92,2.7,-12.64,1.12,0.48,1.25
Grains,25.47,12.56,56.84,3.26,99.03,Animal Feed,10.09,0.64,53.58,61.68,0.9,0.32,0.46
Vegetables,12.89,82.94,90.54,17.29,98.43,Biogas,5.08,2.14,73.25,74.07,1.4,0.31,0.84
